だいがく, college
こうこう, high school
がくせい, student
だいがくせい, college student
りゅうがくせい, international student
せんせい, teacher; professor
...ねんせい, ...year student
いちねんせい, first-year student
せんこう, major
わたし, I
ともだち, friend
さん, Mr. / Ms.
...にん, ...people
にほんじん, Japanese people
いま, now
ごぜん, a.m.
ごご, p.m.
じかん, o'clock
いちじ, one o'clock
はん, half
にじはん, half past two
にほん, Japan
アメリカ, USA
...ご, ...language
にほんご, Japanese language
...さい, ...years old
でんわ, telephone
ばんごう, number
~ばん, number...
なまえ, name
なに, what
ええと, um...
はい, yes
そうです, that's right
なるほど, I see...
そうですか, is that so?
おはようございます, Good morning
こんにちは, Good afternoon
こんばんは, Good evening
さようなら, Good-bye
ありがとう, Thank you
すみません, Excuse me; I'm sorry
いいえ、けっこうです, No; not at all
いってきます, I'll go and come back
がくせい, I'm home
おかえりなさい, Welcome home
いただきます, Thank you for the meal (before eating)
ごちそうさまでした, Thank you for the meal (after eating)
はじめまして, How do you do?
～です, I am...
どうぞよろしく, Nice to meet you
きょう, Today
にち, Date
あつい, Hot
ちょっとまって, Wait a moment
おもしろい, Interesting
ソウル, Seoul
おなじ, The same
～みたい, Like; seems like
おつかれさまです, Thank you for your hard work
これ, this one
それ, that one
あれ, that (over there)
どれ, which one
この, this...
その, that...
あの, that...(over there)
どの, which...  
ここ, here
そこ, there
あそこ, over there
どこ, where
だれ, who
おいしい, delicious
さかな, fish
とんかつ, pork cutlet
にく, meat
メニュー, menu
やさい, vegetable
かさ, umbrella
かばん, bag
ジーンズ, jeans
じてんしゃ, bicycle
しんぶん, newspaper
スマホ, smartphone
Tシャツ, T shirt
とけい, clock/watch
ノート, notebook
ぺん, pen
ぼうし, hat
ほん, book
ぎんこう, bank
コンビニ, convenience store
トイレ, toilet/bathroom
としょかん, library
ゆうびんきょく, post office
いりぎす, Switzerland
かんこく, South Korea
ちゅうごく, China
えいご, English
けいざい, economy
コンピューター, computer
ビジネス, business
れきし, history
おかあさん, mother
おとうさん, father
いくら, how much
...えん, yen
たかい, expensive
いらっしゃいませ, welcome (to our store)
(...を) おねがいします, ....please
(...を) ください, please give me...
じゃあ, then...; if that is the case
どうぞ, please/here it is
どうも, thank you
ブリテン, Britain
オーストラリア, Australia
コリア, Korea
カナダ, Canada
インド, India
エジプト, Egypt
フィリピン, Philippines
アジアけんきゅう, Asian studies
けいざい, Economics
こうがく, Engineering
こくさいかんけい, International relations
せいじ, Politics
せいぶつがく, Biology
ぶんがく, Literature
いしゃ, Doctor
かいしゃいん, Office worker
かんごし, Nurse
こうこうせい, High school student
しゅふ, Housewife
だいがくいんせい, Graduate student
べんごし, Lawyer
おねえさん, Older sister
おにいさん, Older brother
いもうと, Younger sister
おとうと, Younger brother
